𢾍	⿰⿱出方攴	ゴウ	u
𢾎	⿰春攴	シュン	u
𢾏	⿰客攴	カク	u
𢾐	⿰叜攴	ソウ ショウ	u
𢾑	⿰音攴	アン	u
𢾒	⿰𡧱攴	カイ ケ	u
𢾓	⿰⿱白仒攴	ボク	u
𢾔	⿰𥄎夬	エツ エチ	u
𢾕	⿰⿱出方攵	ホク	p:攵
𢾖	⿰度攴	ド ト	p:度
𢾗	⿰类攵	ホク	p:攵
𢾘	⿱政之	シ	p:之
𢾙	⿰昜攴	ヨウ	p:昜
𢾚	⿰音攵	ホク	p:攵
𢾛	⿰亭攵	ホク	p:攵
𢾜	⿰春攵	ホク	p:攵
𢾝	⿰韋攵	ホク	p:攵
𢾞	⿰昬攵	ホク	p:攵
𢾟	⿰𣐩攵	ホク	p:攵
𢾠	⿰⿱卝冋攴	ケイ	u
𢾡	⿰炭攵	ホク	p:攵
𢾢	⿰𡥞攵	ホク	p:攵
𢾣	⿰𣏋攵	ホク	p:攵
𢾤	⿰甚攵	ホク	p:攵
𢾥	⿰⿸户目攴	ケイ	u
𢾦	⿰乗攴	キ ギ	u
𢾧	⿰烝攴	ショウ	u
𢾨	⿱𥝢⿸厂攴	レイ	u
𢾩	⿰盍攴	コウ	u
𢾪	⿰桑攴	ソウ	p:桑
𢾫	⿰蚩攴	チ	u
𢾬	⿰𰞚攴	ロツ ロチ	u
𢾭	⿰尃攵	フ しく	u
𢾮	⿰宫攴	トウ ズ	u
𢾯	⿰⿸辰寸攴	ジョク	u
𢾰	⿰⿳山一糸攵	キ	u
𢾱	⿰𣬉攴	ヒ	u
𢾲	⿰弱攴	ダク ニャク	u
𢾳	⿰草攵	ホウ	u
𢾴	⿰⿱大⿱卝干攴	タツ	u
𢾵	⿰⿳⿱一㐅⿱一㐅𠮛攴	ギョ	u
𢾶	⿱⿻十𠈌攵	ショウ	u
𢾷	⿰⿳山一各攵	チョウ	u
𢾸	⿰⿱耳𧘇攴	ソウ	u
𢾹	⿰肁攵	チョウ	u
𢾺	⿰匪攵	ヒ ビ	u
𢾻	⿰匪攴	ヒ	p:匪
𢾼	⿰弱攵	ホク	p:攵
𢾽	⿰乘攴	ジョウ	p:乘
𢾾	⿰⿱𤰔方攵	フ しく しき	u
𢾿	⿰鬲攴	カク レキ	p:鬲
𢿀	⿰⿱戈同攴	ドウ	p:同
𢿁	⿰𭖦攴		
𢿂	⿸𠩺干	カン	p:干
𢿃	⿰員攵	ホク	p:攵
𢿄	⿱𢼡正	セイ ショウ	p:正
𢿅	⿲亻丨⿱攴𧾷	ソク	p:𧾷
𢿆	⿰祟攴	シ	u
𢿇	⿰鹿攴	ロク	p:鹿
𢿈	⿰參攴	サン	u
𢿉	⿰㣎攴	ボク	u
𢿊	⿰𧆨攴	デン	u
𢿋	⿱敇正	セイ ショウ	p:正
𢿌	⿱⿱⺈⿵冂八𥄎	ケイ	u
𢿍	⿸𠩺攴	キ チ	p:𠩺
𢿎	⿰皐攴	タ ダ	u
𢿏	⿰票攴	ホウ ヒョウ	u
𢿐	⿰⿱幺幸攵	レイ	u
𢿑	⿰禼攴	セツ	u
𢿒	⿰貫攴	カン	u
𢿓	⿰⿱⿱⺊冖貝攵	カイ	u
𢿔	⿰⿳㇒⿻凵出小攵	サツ	u
𢿕	⿰曼攴	マン バン	p:曼
𢿖	⿰票攵	ホク	p:攵
𢿗	⿰崙攵	ホク	p:攵
𢿘	⿰婁攴	スウ	u
𢿙	⿰𡝤攵	スウ かぞえる	u
𢿚	⿰⿱⿰㕛斤山攴	ユウ	u
𢿛	⿰區攵	ク	u
𢿜	⿰曼攵	ホク	p:攵
𢿝	⿰⿳⺊𠔿⿵冂厶攴	シ ボウ	p:厶
𢿞	⿰尞攴	リョウ	u
𢿟	⿰𠷎攴	シュウ	u
𢿠	⿰賁攴	フン	u
𢿡	⿰⿳⿱⺊冖一貝攴	カイ	u
𢿢	⿰𤔔攴	ラン ロン みだれる	u
𢿣	⿰堯攴	キョウ ギョウ ゴウ キャク	u
𢿤	⿰登攴	トウ	u
𢿥	⿰番攴	ハ まく	u
𢿦	⿰牚攴	トウ ジョウ	u
𢿧	⿰棠攴	トウ ジョウ	u
𢿨	⿰⿱林⺝攴	サン ちる	u
𢿩	⿰⿱⿱卝干句攴	ケイ	u
𢿪	⿰啻攴	テキ	u
𢿫	⿱𭣴正	セイ ととのう	u
𢿬	⿰⿱泉彡攵	ボク	u
𢿭	⿱𢼄卓	チョク タク	u
𢿮	⿰⿳爫龴⿵冂𠫘攴	ラン	u
𢿯	⿰⿱艹畀攵	ホク	p:攵
𢿰	⿰⿱⿳士冖一米攵	ホク	p:攵
𢿱	⿰⿱林⺝攵	ホク	p:攵
𢿲	⿰堯攵	ホク	p:攵
𢿳	⿰𤔔攵	ラン	u
𢿴	⿰翕攵	ホク	p:攵
𢿵	⿰棠攵	ホク	p:攵
𢿶	⿰䜭攵	ホク	p:攵
𢿷	⿲⿻一⿴⿰⿱丶㇀⿱㇒丶亅⿻一⿴⿰⿱丶㇀⿱㇒丶亅攴	サン	u
𢿸	⿰策攴	サク	u
𢿹	⿲⿱㇒𡭔⿱山未攴	サツ	u
𢿺	⿰⿱叕⺝攴	ゲツ ガツ	p:月
𢿻	⿰粦攵	ラン レン	u
𢿼	⿰尋攵	ホク	p:攵
𢿽	⿰牚攵	ホク	p:攵
𢿾	⿰喿攴	ソウ	u
𢿿	⿰嗇攴	ショク	p:嗇
𣀀	⿰雷攴	ライ	u
𣀁	⿰詹攴	セン	u
𣀂	⿰豊攴	レイ ライ	u
𣀃	⿰廉攴	レン	u
𣀄	⿰⿱君⿱卝干攴	クン グン	u
𣀅	⿰黹攵	ホク	p:攵
𣀆	⿰羣攵	ホク	p:攵
𣀇	⿰睪攴	エキ ヤク ト ツ	u
𣀈	⿰蜀攵	ホク	p:攵
𣀉	⿰喿攵	ソウ	u
𣀊	⿰廉攵	ホク	p:攵
𣀋	⿲⿱丅耳⿱山儿攵	ホク	p:攵
𣀌	⿰⿳吅一耳攵	ホク	p:攵
𣀍	⿰⿳⿱十冖氺水攴	ジン	u
𣀎	⿰⿳爫出⿺𠃊𡭔攴	サツ	u
𣀏	⿰甞攴	トウ チョウ	u
𣀐	⿰⿱自幸攵	コ ジョ	u
𣀑	⿰爾攴	ジ ニ	p:爾
𣀒	⿰聚攴	ソウ ス	u
𣀓	⿰壽攴	シュウ ジュ シュ トウ	u
𣀔	⿰算攴	ハン セイ セ サイ	u
𣀕	⿰⿱貝貝攴	ハイ	u
𣀖	⿰⿱笁句攴	ケイ	u
𣀗	⿸𭆆來	ライ タイ	p:來
𣀘	⿰壽攵	ホク	p:攵
𣀙	⿰𰮫攴		
𣀚	⿳𣅑冖政	キ	u
𣀛	⿰暴攴	ハク	u
𣀜	⿰畾攴	ライ レ	u
𣀝	⿰樂攴	シャク	u
𣀞	⿰慮攴	リョ ロ	u
𣀟	⿺巴數	スウ ス	p:數
𣀠	⿰暴攵	ホク	p:攵
𣀡	⿰畾攵	ホク	p:攵
𣀢	⿱⿲火言火攵	ホク	p:攵
𣀣	⿰觱攴	フツ ブチ	u
𣀤	⿰褱攴	カイ	u
𣀥	⿰歷攴	レキ リャク	u
𣀦	⿰𦎧攴	トン	u
𣀧	⿰⿱林隹攴	サン	u
𣀨	⿰𢨋攴	フツ	u
𣀩	⿰褱攵	ホク	p:攵
𣀪	⿰⿱或⿰忄㠯攴	フツ	u
𣀫	⿰𤯌攴	カン タン	p:𤯌
𣀬	⿰器攵	イ	u
𣀭	⿰⿳𦥔一妟攵	スウ	u
𣀮	⿰襄攴	ジョウ	u
𣀯	⿰𦗕攴	サン	u
𣀰	⿰⿱米⿳⿻⿳卄一卄丨一八攴	フン	u
𣀱	⿰⿱米⿻⿱廿艹大攵	ホク	p:攵
𣀲	⿰糞攴	フン	p:糞
𣀳	⿰聶攵	ジョウ ニョウ	u
𣀴	⿱敞⿱冖⿰𰀄⿺乚⿰丨𫜹	コン シ	p:丨
𣀵	⿱䜌攴	ヘン	u
𣀶	⿰贊攴	サン	u
𣀷	⿰麗攴	レイ ライ リ	u
𣀸	⿰繭攵	ホク	p:攵
𣀹	⿰贊攵	ホク	p:攵
𣀺	⿰⿱卝⿵冂⿲糹丨虫攴	チュウ キ	p:虫
𣀻	⿰屬攴	ショク ソク	u
𣀼	⿰屬攵	ホク	p:攵
𣀽	⿱敝⿺氣田	デン	p:田
𣀾	⿰⿱𰒲角攴	カク	p:角
𣀿	⿰⿱⿰⿳夕⿱一夕巾⿳夕⿱一夕巾火攵	ホク	p:攵
𣁀	⿰⿱咸觱攴	ヒツ ヒチ	p:觱
𣁁	⿱𠆢文		
𣁂	⿱𡭔文		
𣁃	⿱文⿻了八	ガク	u
𣁄	⿱文牛	ギュウ	p:牛
𣁅	⿱方文	ホウ	p:方
𣁆	⿱文必	ヒツ	p:必
𣁇	⿱文正	セイ ショウ	p:正
𣁈	⿰文包	ホウ	p:包
𣁉	⿰必文	ヒツ	u
𣁊	⿰并文	ハン ヘン	u
𣁋	⿰𡵉攵	ビ ミ	u
𣁌	⿱文早	ソウ サッ	p:早
𣁍	⿳爫冖文	ベキ	p:冖
𣁎	⿱文言	ヨ	u
𣁏	⿰余文	ヨ	p:余
𣁐	⿰文見	ケン	p:見
𣁑	⿱文住	ジュウ ヂュウ	p:住
𣁒	⿰⿱廿丨𣁁	コン シ	p:丨
𣁓	⿹？文		
𣁔	⿰吝巨	キョ	p:巨
𣁕	⿱文𪯢		
𣁖	⿰𠦝文		
𣁗	⿰炭文	タン	u
𣁘	⿰文咼	カイ ケ	p:咼
𣁙	⿱茌文	キン	u
𣁚	⿰文即	リ	v:𣁟
𣁛	⿸𠩺攵	ホク	p:攵
𣁜	⿰曼文	バン マン	u
𣁝	⿰采⿻文彡	サイ	u
𣁞	⿱埶文	ゲイ セイ	p:埶
𣁟	⿸𠩺文	リ	u
𣁠	⿰文庸	ヨウ	p:庸
𣁡	⿰文票	ヒョウ	p:票
𣁢	⿱敝文	ヘイ ハイ	u
𣁣	⿰粦文	ラン	u
𣁤	⿱春𪯢	シュン	p:春
𣁥	⿰文監	カン	p:監
𣁦	⿱斌全	ハン	u
𣁧	⿱⿲火言火文	ブン	u
𣁨	⿳？拍文	ユウ	u
𣁩	⿱⿲木文木⿱冖⿰？龴	ベキ	p:冖
𣁪	⿳文䀠冝	ギ	p:冝
𣁫	⿳文𦥯血	ビ	u
𣁬	⿻？十	ト	u
𣁭	⿰𠃔斗	キュウ	u
𣁮	⿰丰斗	ホウ フ	p:丰
𣁯	⿰斗元	カ	u
𣁰	⿰斗斤	リョウ	u
𣁱	⿰申斗	シン	u
𣁲	⿰斗冬	トウ	p:冬
𣁳	⿰舌斗	ワツ ワチ カツ カチ	u
𣁴	⿰合斗	コウ	u
𣁵	⿰羊斗	トウ ツ	u
𣁶	⿰斗兆	チョウ	u
𣁷	⿰寽斗	レツ レチ	u
𣁸	⿰镸斗	チョウ	p:镸
𣁹	⿰斗酉	カク	u
𣁺	⿰分⿰弓斗	ホウ	u
𣁻	⿰斗⿱𱼀寸	レツ	u
𣁼	⿰㫄斗	ホウ	u
𣁽	⿺⿱甶儿斗	ト カイ カ	u
𣁾	⿱斗⿰斗斗		
𣁿	⿰斗𠩓	チョウ	u
𣂀	⿰𠩓斗		
𣂁	⿰庣斗	チョウ ショウ	u
𣂂	⿰蚉斗	ユ	u
𣂃	⿰者斗	シャ	p:者
𣂄	⿰咼斗	カ	u
𣂅	⿰⿱立⺼斗	ゲツ ガツ	p:月
𣂆	⿰旁斗	ホウ ビョウ	u
𣂇	⿰斗厞	ショウ	u
𣂈	⿱𤇾斗		
𣂉	⿰啇斗	テキ チャク	u
𣂊	⿱尉斗	イ	u
𣂋	⿰戽告	コク	p:告
𣂌	⿰斗蜀	ショク	u
𣂍	⿰⿱⿳士冖一角斗	カク	p:角
𣂎	⿱滿斗	マン バン	p:滿
𣂏	⿰奭斗	セキ シャク	p:奭
𣂐	⿰⿻奭一斗	イチ イツ	p:一
𣂑	⿸𠂆十	ト	u
𣂒	⿰力斤	ロク	u
𣂓	⿱斤土	ド ト	p:土
𣂔	⿰片斤	セキ	u
𣂕	⿰亓斤	シ	u
𣂖	⿰开斤	シ	u
𣂗	⿰井斤	キン	u
𣂘	⿰⿸⿹丅丿丨斤	コン シ	p:丨
𣂙	⿰斤斥	セキ	p:斥
𣂚	⿰⿻丿⿱凵凵斤	カン	p:凵
𣂛	⿰朱斤	シュ	p:朱
𣂜	⿰臣斤	キン	u
𣂝	⿰斤向	コウ	u
𣂞	⿰？斤	ラ	u
𣂟	⿰⿳山一䶹斤	セツ	u
𣂠	⿰⿱彡止斤	キン	u
𣂡	⿰豖斤	タク	u
𣂢	⿰𠧢斤	ダン	u
𣂣	⿰卓斤	タク	p:卓
𣂤	⿰朋斤	ホウ	u
𣂥	⿰𠩓斤	チョウ ショウ	u
𣂦	⿰奇斤	キ	u
𣂧	⿰戔斤	サン	u
𣂨	⿰易斤	テイ	u
𣂩	⿰垂斤	スイ	p:垂
𣂪	⿰亞斤	タク	u
𣂫	⿰⿱山示斤	セツ	u
𣂬	⿱⿰⿹勹丿斤𠙻	コウ	u
𣂭	⿰⿱爫亏斥	カク	u
𣂮	⿰俞斤	トウ ツ	u
𣂯	⿰⿱止出斤	セイ	u
𣂰	⿰曷斤	テイ	u
𣂱	⿰⿱一⿺𠃊⿲幺丨幺斤	ダン	u
𣂲	⿰⿳山土䶹斤	セツ	u
𣂳	⿰亭斤	チョウ	u
𣂴	⿰斤亭	テイ	u
𣂵	⿰彖斤	テン	u
𣂶	⿰⿱止缶斤	セイ	u
𣂷	⿰⿱廿⿻口土斤	キン コン せり	v:斳
𣂸	⿰⿳⺊日止斤	シ	p:止
𣂹	⿰⿳山⿱八𠆢屮斤	セツ	u
𣂺	⿰𣐽斤	シン	u
𣂻	⿰區斤	オウ オ コウ ク	u
𣂼	⿰⿱㐀⿻口土斤	ド ト	p:土
𣂽	⿰國斤	カク	u
𣂾	⿰⿱𢆶正斤	セイ ショウ	p:正
𣂿	⿰𭾬斤		
𣃀	⿰㫺斤	サク	u
𣃁	⿰属斤	チョク	u
𣃂	⿰畫斤	タク	u
𣃃	⿰⿱⿰⿰？丶刀豆斤	タク	u
𣃄	⿰菁斤	シン	u
𣃅	⿱斤⿱⿱冖八兔	ゼン	u
𣃆	⿰登斤	タク	u
𣃇	⿰筫斤	チ シツ	p:筫
𣃈	⿰著斤	チャク	u
𣃉	⿰斤當	トウ	u
𣃊	⿰⿱目斦斤	テイ	u
𣃋	⿰⿱⿰⿰？丶刀金斤	タク	u
𣃌	⿰㷠斤	リン	u
𣃍	⿰算斤	セイ セ サツ セチ	u
𣃎	⿰⿱辛言斤	キン	u
𣃏	⿰盡斤	タク	u
𣃐	⿲斤貢⿱厶力	タイ	u
𣃑	⿰箸斤	チャク	u
𣃒	⿳䀠一斦	テイ	u
𣃓	⿰⿱口單斤	タン	p:單
𣃔	⿰𢇍斤	ダン タン たつ	u
𣃕	⿰蕈斤	ジン シン	p:蕈
𣃖	⿰瞿斤	ク	u
𣃗	⿰方刀	ロク	u
𣃘	⿰方个	テン トウ ジョウ チョウ	u
𣃙	⿳一八方	ボウ	u
𣃚	⿰方亢	コウ ゴウ	u
𣃛	⿰方火	カ	p:火
𣃜	⿱斗方	ト トウ	p:斗
𣃝	⿰方央	ヨウ	u
𣃞	⿸厂⿰丬方	ボウ	u
𣃟	⿱下⿱冖方	ボウ	u
𣃠	⿰方令	レイ	u
𣃡	⿰方玄	ゲン	p:玄
𣃢	⿰方⿱𠆢亡	セイ	u
𣃣	⿰方皮	ヒ	p:皮
𣃤	⿰皮方	ヒ	p:皮
𣃥	⿰方尓	ジ ニ	p:尓
𣃦	⿰方⿱𠂉勿	ブツ モチ	u
𣃧	⿰方𭥍	エン	u
𣃨	⿰方⿱𠂉从	リョ	u
𣃩	⿰方⿱𠂉𠂔	シ	p:𠂔
𣃪	⿵⿱一⿻𠘨土方	ボウ	u
𣃫	⿰方吊	チョウ	p:吊
𣃬	⿰方⿱𠂉升	ショウ	p:升
𣃭	⿰方⿱𠂉介	カイ	p:介
𣃮	⿰方⿱𠂉氏	シ	p:氏
𣃯	⿰方⿱𠂉⿻𠘨⿱丶一	セン	u
𣃰	⿰方⿱𠂉内	ナイ ダイ	p:内
𣃱	⿰方匡	キョウ オウ	p:匡
𣃲	⿰方⿱𠂉𲋄		
𣃳	⿰方⿱𠂉㘝	エン ヨウ	u
𣃴	⿰方⿱𠂉囚	エン	u
𣃵	⿰方⿱𠂉申	チン	u
𣃶	⿰於阝	フ フウ	p:阝
𣃷	⿰方𠧚	セキ シャク	p:𠧚
𣃸	⿱日㝑	ボウ	p:㝑
𣃹	⿰方⿱𠂉民	ミン	p:民
𣃺	⿰方⿳儿𠆢口	コウ ク	p:口
𣃻	⿰方⿱𠂉甲	チン	u
𣃼	⿰方⿱𠂉舟	セン はた	u
𣃽	⿰方⿱𠂉多	ダ ナ	u
𣃾	⿰方奄	エン	u
𣃿	⿰方⿱𠂉⿻乚北	チョウ	u
𣄀	⿰方⿱𠂉全	セイ ショウ	u
𣄁	⿰方受	ジュ	u
𣄂	⿰方疌	ジョウ ニョウ	p:疌
𣄃	⿰方其	キ ギ	p:其
𣄄	⿰方芹	キン	p:芹
𣄅	⿰方⿳𠆢𬼽口	ホウ	u
𣄆	⿰方𮕦	リョ たび	u
𣄇	⿰方侖	リン ロン	p:侖
𣄈	⿰方軍	キ	u
𣄉	⿰方𮠖	エン ヨウ	u
𣄊	⿰方⿱𠂉⿹⿺㇉一灬	ヨ	u
𣄋	⿱珀方	ハク	p:珀
𣄌	⿰方𧴦	カ	p:𧴦
𣄍	⿰方是	テイ	u
𣄎	⿰方尃	ハク	u
𣄏	⿰方畚	ホン ボン	u
𣄐	⿰方⿱𠂉帘	コウ	u
𣄑	⿰方⿱𠂉奄	エン	u
𣄒	⿱於在	ザイ	p:在
𣄓	⿰方笔	キ	u
𣄔	⿰方票	ヒョウ	u
𣄕	⿰方⿱𠂉音	オン イン	p:音
𣄖	⿰方⿱𠂉風	フウ フ	p:風
𣄗	⿰方異	イ	p:異
𣄘	⿰方⿱𠂉骨	ヨ オ	u
𣄙	⿰方⿱𠂉晃	コウ	u
𣄚	⿰方遂	スイ	u
𣄛	⿰方童	ドウ	p:童
𣄜	⿰方貴	キ	u
𣄝	⿰方僉	ゲン	u
𣄞	⿰方⿱𠂉戠	シ	u
𣄟	⿰方⿱⿱𰀉冖？	コ	u
𣄠	⿰方⿱𠂉猋	ヒョウ	u
𣄡	⿰方⿱𠂉焱	ヒョウ	u
𣄢	⿰方⿱𠂉童	トウ	u
𣄣	⿰方與	ヨ	p:與
𣄤	⿰方魯	ヨ	u
𣄥	⿰旁隻	セキ	p:隻
𣄦	⿰方⿱𠂉麃	ヒョウ	u
𣄧	⿰方⿱𠂉遺	イ スイ ズイ	u
𣄨	⿰方⿱𠂉𰕣	キ	u
𣄩	⿰方⿰⿱正目頁	ケツ	p:頁
𣄪	⿰方⿱𠂉𤐫	ヒョウ	u
𣄫	⿰方⿰⿱正貝頁	イ	u
𣄬	⿰旁歷	レキ リャク	p:歷
𣄭	⿷旡𰀪	キ ケ	p:旡
𣄮	⿱旡口	シ ジ	u
𣄯	⿱㇒⿵𠘨旡	キ	u
𣄰	⿰旡可	バ マ	u
𣄱	⿱旡圭	ケイ	u
𣄲	⿰旡危	カイ	u
𣄳	⿱无舛	ブ セン	p:舛
𣄴	⿰旡京	リョウ ロウ	u
𣄵	⿰京旡	リョウ	u
𣄶	⿰亰旡	リョウ	u
𣄷	⿰旡亰	リョウ	u
𣄸	⿰旡咼	カ ガ	u
𣄹	⿰習旡	キ ケ	p:旡
𣄺	⿰旡爲	イ	u
𣄻	⿰日乙	タク チョク	u
𣄼	⿱一日	コン	u
𣄽	⿺乙日	オツ イツ	p:乙
𣄾	⿱日𠄟	コン	u
𣄿	⿱日丁	テイ チョウ	u
𣅀	⿱亠日	シ	u
𣅁	⿰日人	タイ	u
𣅂	⿱日亠	トウ	p:亠
𣅃	⿰日卜	ボク	p:卜
𣅄	⿺廴日	ジュウ	u
𣅅	⿰日乃	ナイ ダイ	p:乃
𣅆	⿳一八日	キ	u
𣅇	⿰日亡	ボウ モウ	u
𣅈	⿱夂日	トウ	u
𣅉	⿰日刃	ジン ニン	u
𣅊	⿱日口	ショウ	u
𣅋	⿱日䒑	トウ	u
𣅌	⿱千日	シ	u
𣅍	⿴囗日	ヒョウ	u
𣅎	⿱㐅𣄼	ゴ	u
𣅏	⿱⿺𠃊日儿	ジン ニン	p:儿
𣅐	⿱日⿱一乂	ビン	u
𣅑	⿱䒑日	ソウ	p:䒑
𣅒	⿰日乇	タク チャク	p:乇
𣅓	⿰日女	ジョ ニョ	p:女
𣅔	⿺夨日	ショク シキ	p:夨
𣅕	⿱日川	セン	p:川
𣅖	⿱日亡	ソウ	u
𣅗	⿰日己	コ キ	p:己
𣅘	⿱日亏	ウ	p:亏
𣅙	⿰日亏	ウ	p:亏
𣅚	⿰日内	ドツ ナチ	u
𣅛	⿸厂𬽪	ショク	u
𣅜	⿱比日	カイ	u
𣅝	⿳日八又	トツ トチ	u
𣅞	⿹𨈐日	ケツ	u
𣅟	⿰日冘	タン トン	u
𣅠	⿰日气	キ	u
𣅡	⿰日夬	ケツ ケチ	u
𣅢	⿰日卆	サイ	u
𣅣	⿱日𠀇	トウ	u
𣅤	⿰日犬	キョ	u
𣅥	⿰日互	テイ	u
𣅦	⿸厂⿺人日	ショク かたむく	u
𣅧	⿰日冄	タン	u
𣅨	⿱王日	オウ	p:王
𣅩	⿸𠃜日		
𣅪	⿰日比	ヒ	p:比
𣅫	⿰日牛	ギュウ	p:牛
𣅬	⿱日⿰⿰㇀丿匕	ヒ	p:匕
𣅭	⿱日⿵八⺀	ハチ ハツ	p:八
𣅮	⿰日升	ショウ	p:升
𣅯	⿳一⿲丨日丨一	チュウ	u
𣅰	⿹丐日	カイ	p:丐
𣅱	⿱𡭔𣄼	ジ	u
𣅲	⿹⿰丨手日	ケツ	u
𣅳	⿺⿱𠃑大日	ショク かたむく	u
𣅴	⿰日丑	ジュウ	u
𣅵	⿰日心	シン	p:心
𣅶	⿰日六	ロク リク	p:六
𣅷	⿱日兄	ケイ キョウ	u
𣅸	⿰日它	ゲイ	u
𣅹	⿱日𢌮	ベン	u
𣅺	⿰日幼	ユウ ユ	u
𣅻	⿱日冋	ケイ キョウ	u
𣅼	⿱日甲	ソウ	u
𣅽	⿱日出	ホツ	u
𣅾	⿱冉日	ゼン ネン	p:冉
𣅿	⿰日台	ダイ タイ	p:台
𣆀	⿰日冉	ゼン ネン	p:冉
𣆁	⿱疋日	ショ ソ あい みな	u
𣆂	⿱日玄	ゲン	p:玄
𣆃	⿰日⿱一勻	イン	p:勻
𣆄	⿱⿺𠃊日勿	ヨウ	u
𣆅	⿰日乏	ボウ	p:乏
𣆆	⿰日白	ハク ビャク	p:白
𣆇	⿱示日	ミツ	u
𣆈	⿰日戊	カツ	u
𣆉	⿱日⿱口十	コウ	u
𣆊	⿱𠀐日	シュン	u
𣆋	⿰日尓	シン	u
𣆌	⿱夗日	エン オン	p:夗
𣆍	⿱日⿰方乚	テイ	u
𣆎	⿱日𠂡		
𣆏	⿰日丕	ヒ	p:丕
𣆐	⿰日卢	リョ ロ	v:曥
𣆑	⿱册日	サク シャク	u
𣆒	⿰日戍	キツ コチ	u
𣆓	⿰日𡰱	ジツ	u
𣆔	⿰日舟	シュウ シュ	u
𣆕	⿱劦日	ケン コ	u
𣆖	⿰日巟	コウ ボウ モウ	u
𣆗	⿱日合	ソウ	u
𣆘	⿰日吏	シ	u
𣆙	⿰日汗	カン	p:汗
𣆚	⿱日多	シ	u
𣆛	⿱覀日	アン バン	u
𣆜	⿰日？	バイ	u
𣆝	⿰日而	ダン ナン	u
𣆞	⿱旦正	ゼ	u
𣆟	⿱此旦	タン ダン	p:旦
𣆠	⿱日⿰山⿺乚又	キ	u
𣆡	⿰日危	キ	p:危
𣆢	⿱日⿻㇒目	モク ボク	p:目
𣆣	⿰日虫	チュウ キ	p:虫
𣆤	⿱光日	コウ	p:光
𣆥	⿺光日	ヒ	u
𣆦	⿰日朱	シュ	p:朱
𣆧	⿱日𠀘	コウ	u
𣆨	⿱旧𠂡	ソ ねずみ	u
𣆩	⿱⿻𦉫𠄠日	サク	u
𣆪	⿱日𠯃	ブ	p:𠯃
𣆫	⿱臼日	ショウ	u
𣆬	⿰日𡿫	コウ	p:𡿫
𣆭	⿱日戍	ジュ シュ	p:戍
𣆮	⿰日庄	ショウ ソ	p:庄
𣆯	⿰日行	コウ ギョウ	p:行
𣆰	⿰日夷	イ	p:夷
𣆱	⿰日存	ソン ゾン	p:存
𣆲	⿰日𠬶	シン	u
𣆳	⿰日更	コウ キョウ	u
𣆴	⿰日延	セン	u
𣆵	⿱日𦥑	キョク コク	p:𦥑
𣆷	⿱日𡉵	チョウ	u
𣆸	⿰⿱𫜹日⿱？又	カン	u
𣆹	⿱日冝	ジョウ	u
𣆺	⿰日肖	ショウ	u
𣆻	⿱日戼	ボウ すばる	u
𣆼	⿱⿲？日？廾	トウ	u
𣆽	⿱旦𤘖	ショク	u
𣆾	⿱⿰？欠日	コン	u
𣆿	⿰日皃	カン	u
𣇀	⿱𦥑日	ホ	u
𣇁	⿰日巠	ケイ キョウ	p:巠
𣇂	⿰日岑	シン ギン	p:岑
𣇅	⿱日？		
𣇆	⿱日宋	ソウ	p:宋
𣇇	⿱延旦	タン ダン	p:旦
𣇈	⿰日⿱戈兀	コツ	p:兀
𣇉	⿰日君	クン	p:君
𣇊	⿰日否	ヒ	p:否
𣇋	⿰日兑	ダ エツ	p:兑
𣇌	⿰日志	シ シリング	p:志
𣇍	⿰日夾	キョウ コウ	p:夾
𣇎	⿱日⿰⿱一己弓	キュウ	p:弓
𣇏	⿰日杏	キョウ アン	p:杏
𣇐	⿰日赤	セキ シャク	p:赤
𣇑	⿱旧⿲丿⿻三丨丨	コン シ	p:丨
𣇒	⿰日⿱口𡈼	テイ タイ	p:𡈼
𣇓	⿶𤕰日	ボウ	p:𤕰
𣇔	⿰日夆	ホウ フ	p:夆
𣇕	⿰日我	ガ	p:我
𣇖	⿲日工日	テン	u
𣇗	⿱日⿸厂⿱𫜹又	ユウ	p:又
𣇘	⿱利日	リ	p:利
𣇙	⿺皃日	タン	u
𣇚	⿰日⿳厶𡭔又	シュン	u
𣇛	⿱日辛	シン	p:辛
𣇜	⿰日貝	バイ	p:貝
𣇝	⿰日冷	レイ	p:冷
𣇞	⿰日余	ヨ	p:余
𣇟	⿱日牢	ロウ	p:牢
𣇠	⿰日妓	ギ キ	p:妓
𣇡	⿰日忌	キ	p:忌
𣇢	⿰日㡀	ヘツ ヘチ	u
𣇣	⿱日直	チョク ジキ	p:直
𣇤	⿰日忽	コツ	u
𣇥	⿰日𠄢	ケン	u
𣇦	⿰日垂	チ ジ	u
𣇧	⿰日炙	シャ	u
𣇨	⿰日隶	タイ	u
𣇩	⿱亞日	ア	u
𣇪	⿱日炗	ヨウ	u
𣇫	⿰日果	ワ	u
𣇬	⿰日穹	キュウ ク	u
𣇭	⿰日徃	オウ	p:徃
𣇮	⿱㭊日	セキ	u
𣇯	⿱日𢨯	ボウ	u
𣇰	⿱日林	リン	u
𣇱	⿰𠕌𠕌	メイ	u
𣇲	⿰日昏	コン	u
𣇳	⿱日其	キ	u
𣇴	⿱明六	ロク リク	p:六
𣇶	⿱⿰𫜹𫜹𠕾	ボツ	u
𣇷	⿰日芳	ホウ	p:芳
𣇸	⿳卉𠆢日	キ ケ	p:卉
